AnalysisN;Comment;K2O;TiO2;FeO;MnO;CaO;Cr2O3;Na2O;Al2O3;SiO2;MgO;Total;Date
1;2019-08-27-DB-G2-01_01-anfibolio01;1,37;1,04;22,64;0,57;11,15;0,08;1,50;10,58;41,80;7,19;97,92;27/08/2019 12:28
2;2019-08-27-DB-G2-01_01-anfibolio01;1,36;1,03;22,75;0,46;11,13;0,05;1,43;10,78;41,91;7,23;98,13;27/08/2019 12:30
3;2019-08-27-DB-G2-01_01-anfibolio02;1,49;0,89;22,72;0,52;11,29;0,00;1,59;11,29;41,28;7,05;98,12;27/08/2019 12:33
4;2019-08-27-DB-G2-01_01-anfibolio03;1,37;1,32;21,96;0,50;11,18;0,03;1,43;10,62;42,08;7,26;97,76;27/08/2019 12:35
5;2019-08-27-DB-G2-01_01-plagio1;0,28;0,01;0,15;0,00;4,26;0,00;9,22;23,49;63,10;0,02;100,52;27/08/2019 12:37
6;2019-08-27-DB-G2-01_01-plagio2;0,32;0,02;0,16;0,02;4,28;0,02;9,06;23,38;63,69;0,00;100,96;27/08/2019 12:39
7;2019-08-27-DB-G2-01_01-plagio3;0,36;0,00;0,13;0,01;4,33;0,01;9,03;23,24;63,53;0,01;100,63;27/08/2019 12:42
8;2019-08-27-DB-G2-01_01-biotita1;9,46;3,06;22,69;0,33;0,04;0,02;0,05;14,24;36,44;9,27;95,59;27/08/2019 12:44
9;2019-08-27-DB-G2-01_01-biotita2;8,80;2,66;23,26;0,32;0,00;0,03;0,05;14,41;35,94;9,50;94,97;27/08/2019 12:46
10;2019-08-27-DB-G2-01_01-KF1;15,41;0,03;0,19;0,01;0,00;0,00;0,98;18,72;64,35;0,01;99,69;27/08/2019 12:49
11;2019-08-27-DB-G2-01_02-anfibolio04-borda;1,25;0,61;22,87;0,53;11,32;0,00;1,38;10,56;42,00;7,27;97,79;27/08/2019 12:51
12;2019-08-27-DB-G2-01_02-anfibolio04-centro;1,32;1,06;22,29;0,48;11,20;0,02;1,43;10,63;41,98;7,70;98,12;27/08/2019 12:53
13;2019-08-27-DB-G2-01_02-biotita3;9,51;3,76;23,64;0,34;0,00;0,00;0,04;14,16;36,19;8,85;96,48;27/08/2019 12:55
14;2019-08-27-DB-G2-01_02-plagio4;0,43;0,03;0,19;0,00;3,97;0,04;9,11;23,66;63,28;0,00;100,70;27/08/2019 12:57
15;2019-08-27-DB-G2-01_02-plagio5;0,38;0,02;0,14;0,00;4,35;0,01;8,94;23,23;64,04;0,00;101,11;27/08/2019 13:00
16;2019-08-27-DB-G2-01_02-piroxenio1;0,00;0,76;14,56;0,49;13,30;0,00;0,02;15,27;31,10;0,52;76,01;27/08/2019 13:02
17;2019-08-27-DB-G2-01_03-piroxenio2-centro;0,00;0,55;14,06;0,30;14,02;0,00;0,02;16,30;31,88;0,49;77,63;27/08/2019 13:04
18;2019-08-27-DB-G2-01_03-piroxenio2-borda;0,05;0,60;7,23;0,45;10,59;0,00;0,27;15,21;34,38;3,46;72,24;27/08/2019 13:06
19;2019-08-27-DB-G2-01_03-biotita4;8,33;3,29;23,39;0,33;0,69;0,04;0,04;14,62;35,23;9,68;95,65;27/08/2019 13:09
20;2019-08-27-DB-G2-01_03-biotita5;9,33;3,34;22,41;0,34;0,00;0,09;0,05;14,16;36,11;8,97;94,79;27/08/2019 13:11
21;2019-08-27-DB-G2Z_01-biotita1;9,24;3,76;22,82;0,41;0,13;0,01;0,07;14,61;35,18;8,82;95,05;27/08/2019 13:13
22;2019-08-27-DB-G2Z_01-plagio1;0,28;0,04;0,24;0,04;4,47;0,03;9,23;23,71;62,74;0,00;100,78;27/08/2019 13:16
23;2019-08-27-DB-G2Z_01-plagio2;0,32;0,04;0,39;0,01;4,43;0,00;8,96;23,35;61,83;0,00;99,33;27/08/2019 13:18
24;2019-08-27-DB-G2Z_01-K1;15,01;0,02;0,10;0,00;0,00;0,00;1,16;19,14;62,24;0,00;97,68;27/08/2019 13:20
25;2019-08-27-DB-G2Z_01-K2;15,17;0,03;0,16;0,00;0,00;0,00;1,12;19,00;63,50;0,01;98,99;27/08/2019 13:22
26;2019-08-27-DB-G2Z_02-plagio3;0,37;0,02;0,11;0,00;4,38;0,03;9,06;23,73;61,67;0,00;99,39;27/08/2019 13:25
27;2019-08-27-DB-G2Z_01-plagio4;0,43;0,01;0,12;0,01;4,31;0,00;9,28;23,63;62,13;0,00;99,92;27/08/2019 13:27
